Mean,Median,STD,Variance,Min,Max,Range,IQR,Kurtosis,Skewness,MAD,RMS,NumPeaks,Energy,ZCR,FFT_Mean,FFT_Std,PSD_Mean,PSD_Std,Class
30.999263,31.015,17.89705,320.304399,0.009,62,61.991,31.0005,1.800016,0.000042,15.497947,35.793945,38,7857639.523,0.000082,0.038569,0.603458,24.207513,213.718664,Stand
35.001796,35.005,17.322732,300.07706,5.008,64.998,59.99,30.001,1.79999,0.000003,15.000699,39.053212,21,9265306.851,0.000082,0.039301,0.671752,29.502919,260.473714,Stand
30.674118,30.6725,17.712933,313.747985,0.004,61.347,61.343,30.677,1.799997,0.000003,15.338595,35.420303,5,7615408.885,0.000082,0.038526,0.600177,24.199272,213.645779,Stand
38.000194,38.002,17.319711,299.972375,8.008,67.991,59.983,29.989,1.800002,0.000003,14.998069,41.76048,16,10592677.76,0.000082,0.040284,0.723346,33.819381,298.584801,Stand
31.997437,31.997,17.322299,300.062045,2.001,61.992,59.991,30.00125,1.800008,0.000001,15.000291,36.38473,20,8042380.231,0.000082,0.038312,0.62052,25.542795,225.508785,Stand
32.28655,32.289,17.830493,317.926467,1.409,63.159,61.75,30.885,1.80003,-0.00031,15.440131,36.882195,2,8399829.782,0.000081,0.038638,0.622634,26.476608,233.753249,Stand
31.126484,31.126,17.970431,322.9364,0.007,62.245,62.238,31.12375,1.799996,-0.000002,15.561625,35.940829,11,8141857.227,0.000079,0.037768,0.597733,25.12706,221.838132,Stand
34.996569,34.998,17.32399,300.120627,5.002,64.996,59.994,30.00375,1.800012,0.000023,15.001754,39.049071,10,9052915.214,0.000084,0.040141,0.679407,29.567993,261.04753,Stand
25.003272,25.003,14.434608,208.357895,0.01,49.997,49.987,24.999,1.800001,0.000006,12.499508,28.870059,19,4219910.918,0.000099,0.037076,0.535519,15.876635,140.163902,Stand
30.844353,30.844,17.809777,317.188163,0.004,61.684,61.68,30.84325,1.799991,0.000003,15.422494,35.616169,18,7924391.268,0.00008,0.037736,0.594966,24.099573,212.766226,Stand
30.75926,30.762,17.761476,315.470025,0.002,61.515,61.513,30.761,1.799999,-0.000001,15.380658,35.518326,10,7859465.753,0.00008,0.037722,0.594087,24.098271,212.754755,Stand
30.492588,30.492,17.604926,309.933404,0.008,60.978,60.97,30.49025,1.800006,0,15.245071,35.209106,20,7655031.075,0.000081,0.037702,0.591581,24.104328,212.808216,Stand
31.500758,31.501,18.189452,330.856163,0.005,62.997,62.992,31.50125,1.799981,0.000017,15.751271,36.374453,14,8246887.66,0.00008,0.038619,0.608311,25.249725,222.920542,Stand
40.858136,40.86,17.815729,317.4002,10.005,71.705,61.7,30.85,1.800102,-0.000326,15.427263,44.572818,3,12258161.49,0.000081,0.041417,0.768667,38.906121,343.496851,Stand
30.886256,30.886,17.833056,318.017882,0.005,61.767,61.762,30.8845,1.799928,0.000018,15.442828,35.66408,43,7772743.615,0.000082,0.038556,0.602342,24.205517,213.701038,Stand
30.545169,30.545,17.638285,311.109103,0.002,61.089,61.087,30.547,1.799994,0.000034,15.274003,35.271322,7,7695793.419,0.000081,0.037705,0.592042,24.103527,212.801152,Stand
32.885812,32.891,18.127909,328.621069,1.491,64.271,62.78,31.395,1.800033,-0.000508,15.697746,37.55057,3,8850854.58,0.00008,0.038716,0.628882,27.676755,244.34966,Stand
29.972167,29.972,17.306291,299.507719,0.004,59.94,59.936,29.972,1.800001,-0.000003,14.986452,34.609091,18,7270580.169,0.000082,0.037643,0.586436,23.103556,203.972233,Stand
-0.02838,-0.028845,0.012564,0.000158,-0.085656,0.046291,0.131947,0.012218,6.633992,0.638091,0.008695,0.031037,1029,5.931891,0.008363,0.000081,0.00053,0.000019,0.000147,Stand
32.15811,32.158,18.566136,344.701388,0.008,64.308,64.3,32.155,1.800001,0,16.077494,37.132086,0,8867010.338,0.000078,0.038307,0.611387,26.831002,236.882337,Stand
31.645102,31.645,17.402786,302.856945,1.51,61.78,60.27,30.14,1.8,0,15.070003,36.113974,0,7861833.061,0.000083,0.038594,0.61725,25.531315,225.407078,Stand
30.608786,30.608,17.675527,312.42425,0,61.216,61.216,30.613,1.799995,0.000011,15.30623,35.345037,18,7745484.092,0.000081,0.037706,0.592609,24.095174,212.727415,Stand
35.346462,35.3465,20.408611,416.51142,0.004,70.687,70.683,35.347,1.799966,0.000019,17.673153,40.81451,22,11650774.74,0.000071,0.038984,0.644433,31.991721,282.447362,Stand
29.98913,29.9885,17.327715,300.24969,0.011,59.995,59.984,30.015,1.79997,0.000028,15.005087,34.634478,21,7122910.292,0.000084,0.038445,0.593287,23.153917,204.416178,Stand
31.320579,31.32,18.082986,326.994383,0.009,62.634,62.625,31.317,1.8,0.000019,15.659025,36.16518,7,8105181.88,0.000081,0.038599,0.606568,25.250963,222.93137,Stand
19.992164,19.992,11.550913,133.423582,0,39.991,39.991,20.005,1.800001,0.000008,10.002121,23.08845,9,2109916.797,0.000126,0.03714,0.48403,9.7942,86.459839,Stand
31.988363,31.989,17.320789,300.009739,1.995,61.984,59.989,29.99825,1.800003,-0.000001,14.998972,36.376016,6,7853278.307,0.000084,0.039135,0.627611,25.613094,226.128818,Stand
